" Datos Básicos  - Familiares que trabajan en explotaciones agrarias"
"Datos de: INDICADOR=FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS"
"FAMILIA INDICADOR",,"AGRICULTURA",
"INDICADOR",,"FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"40107 LABAJOS",          45,
,"40108 LAGUNA DE CONTRERAS",          58,
,"40109 LANGUILLA",          60,
,"40110 LASTRAS DE CUELLAR",         296,
,"40111 LASTRAS DEL POZO",          24,
,"40112 LASTRILLA (LA)",          46,
,"40113 LOSA (LA)",          30,
,"40115 MADERUELO",          67,
,"40118 MARAZUELA",          38,
,"40119 MARTIN MIGUEL",          64,
,"40120 MARTIN MUÑOZ DE LA DEHESA",          44,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",         136,
,"40122 MARUGAN",          63,
,"40123 MATABUENA",          43,
,"40124 MATA DE CUELLAR",         115,
,"40125 MATILLA (LA)",          28,
,"40126 MELQUE DE CERCOS",          36,
,"40127 MEMBIBRE DE LA HOZ",          47,
,"40128 MIGUELAÑEZ",          36,
,"40129 MONTEJO DE AREVALO",          93,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",          61,
,"40131 MONTERRUBIO",          14,
,"40132 MORAL DE HORNUEZ",          52,
,"40134 MOZONCILLO",         179,
,"40135 MUÑOPEDRO",         164,
,"40136 MUÑOVEROS",          63,
,"40138 NAVA DE LA ASUNCION",         262,
,"40139 NAVAFRIA",         134,
,"40140 NAVALILLA",         103,
,"40141 NAVALMANZANO",         256,
,"40142 NAVARES DE AYUSO",          43,
,"40143 NAVARES DE ENMEDIO",          51,
,"40144 NAVARES DE LAS CUEVAS",          30,
,"40145 NAVAS DE ORO",         110,
,"40146 NAVAS DE SAN ANTONIO",         101,
,"40148 NIEVA",          53,
,"40149 OLOMBRADA",         372,
,"40150 OREJANA",         113,
,"40151 ORTIGOSA DE PESTAÑO",          28,
,"40152 OTERO DE HERREROS",          54,
,"40154 PAJAREJOS",          21,
,"40155 PALAZUELOS DE ERESMA",          90,
,"40156 PEDRAZA",         136,
,"40157 PELAYOS DEL ARROYO",          25,
,"40158 PEROSILLO",          23,
,"40159 PINAREJOS",         133,
,"40160 PINARNEGRILLO",          93,
,"40161 CARABIAS",          44,
,"40162 PRADENA",          69,
,"40163 PUEBLA DE PEDRAZA",          36,
,"40164 RAPARIEGOS",          65,
,"40165 REBOLLO",          35,
,"40166 REMONDO",         110,
,"40168 RIAGUAS DE SAN BARTOLOME",          47,
,"40170 RIAZA",         170,
,"40171 RIBOTA",          20,
,"40172 RIOFRIO DE RIAZA",         143,
,"40173 RODA DE ERESMA",          34,
,"40174 SACRAMENIA",         229,
,"40176 SAMBOAL",         228,
,"40177 SAN CRISTOBAL DE CUELLAR",         100,
,"40178 SAN CRISTOBAL DE LA VEGA",          50,
,"40179 SANCHONUÑO",         242,
,"40180 SANGARCIA",         144,
,"40181 REAL SITIO DE SAN ILDEFONSO",         103,
,"40182 SAN MARTIN Y MUDRIAN",         194,
,"40183 SAN MIGUEL DE BERNUY",          95,
,"40184 SAN PEDRO DE GAILLOS",         167,
,"40185 SANTA MARIA LA REAL DE NIEVA",         298,
,"40186 SANTA MARTA DEL CERRO",          41,
,"40188 SANTIUSTE DE PEDRAZA",          51,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",         291,
,"40190 SANTO DOMINGO DE PIRON",          25,
,"40191 SANTO TOME DEL PUERTO",         123,
,"40192 SAUQUILLO DE CABEZAS",          58,
,"40193 SEBULCOR",          91,
,"40194 SEGOVIA",         419,
,"40195 SEPULVEDA",         386,
,"40196 SEQUERA DE FRESNO",          33,
,"40198 SOTILLO",          28,
,"40199 SOTOSALBOS",          26,
,"40200 TABANERA LA LUENGA",          20,
,"40201 TOLOCIRIO",          28,
,"40202 TORREADRADA",          44,
,"40203 TORRECABALLEROS",          31,
,"40204 TORRECILLA DEL PINAR",          72,
,"40205 TORREIGLESIAS",         135,
,"40206 TORRE VAL DE SAN PEDRO",          76,
,"40207 TRESCASAS",          34,
,"40208 TUREGANO",         194,
,"40210 URUEÑAS",         251,
,"40211 VALDEPRADOS",          28,
,"40212 VALDEVACAS DE MONTEJO",          28,
,"40213 VALDEVACAS Y GUIJAR",          30,
,"40214 VALSECA",          59,
,"40215 VALTIENDAS",          87,
,"40216 VALVERDE DEL MAJANO",          71,
,"40218 VALLE DE TABLADILLO",         148,
,"40219 VALLELADO",         251,
,"40220 VALLERUELA DE PEDRAZA",          38,
,"40221 VALLERUELA DE SEPULVEDA",          51,
,"40222 VEGANZONES",          80,
,"40223 VEGAS DE MATUTE",          77,
,"40224 VENTOSILLA Y TEJADILLA",          10,
,"40225 VILLACASTIN",         214,
,"40228 VILLAVERDE DE ISCAR",          40,
,"40229 VILLAVERDE DE MONTEJO",          77,
,"40230 VILLEGUILLO",          34,
,"40231 YANGUAS DE ERESMA",          40,
,"40233 ZARZUELA DEL MONTE",         103,
,"40234 ZARZUELA DEL PINAR",          53,
,"40901 ORTIGOSA DEL MONTE",          18,
,"40902 COZUELOS DE FUENTIDUEÑA",          90,
,"40903 MARAZOLEJA",          56,
,"40904 NAVAS DE RIOFRIO",          19,
,"42001 ABEJAR",          55,
,"42003 ADRADAS",          33,
,"42004 AGREDA",         525,
,"42006 ALCONABA",          40,
,"42007 ALCUBILLA DE AVELLANEDA",          76,
,"42008 ALCUBILLA DE LAS PEÑAS",          35,
,"42009 ALDEALAFUENTE",          61,
,"42010 ALDEALICES",          11,
,"42011 ALDEALPOZO",           7,
,"42012 ALDEALSEÑOR",          44,
,"42013 ALDEHUELA DE PERIAÑEZ",          43,
,"42014 ALDEHUELAS (LAS)",          58,
,"42015 ALENTISQUE",          21,
,"42016 ALIUD",          21,
,"42017 ALMAJANO",          50,
,"42018 ALMALUEZ",         115,
,"42019 ALMARZA",         150,
,"42020 ALMAZAN",         141,
,"42021 ALMAZUL",          85,
,"42022 ALMENAR DE SORIA",         139,
,"42023 ALPANSEQUE",          43,
,"42024 ARANCON",          77,
,"42025 ARCOS DE JALON",         182,
,"42026 ARENILLAS",           9,
,"42027 AREVALO DE LA SIERRA",          37,
,"42028 AUSEJO DE LA SIERRA",          38,
,"42029 BARAONA",          70,
,"42030 BARCA",          51,
,"42031 BARCONES",          23,
,"42032 BAYUBAS DE ABAJO",          44,
,"42033 BAYUBAS DE ARRIBA",          25,
,"42034 BERATON",          22,
,"42035 BERLANGA DE DUERO",         176,
,"42036 BLACOS",          30,
,"42037 BLIECOS",          16,
,"42038 BORJABAD",          20,
,"42039 BOROBIA",         166,
,"42041 BUBEROS",          20,
,"42042 BUITRAGO",          22,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",         521,
,"42044 CABREJAS DEL CAMPO",          21,
,"42045 CABREJAS DEL PINAR",         269,
,"42046 CALATAÑAZOR",          25,
,"42048 CALTOJAR",          40,
,"42049 CANDILICHERA",          76,
,"42050 CAÑAMAQUE",          14,
,"42051 CARABANTES",          20,
,"42052 CARACENA",           2,
,"42053 CARRASCOSA DE ABAJO",          10,
,"42054 CARRASCOSA DE LA SIERRA",          17,
,"42055 CASAREJOS",          61,
,"42056 CASTILFRIO DE LA SIERRA",          14,
,"42057 CASTILRUIZ",         146,
,"42058 CASTILLEJO DE ROBLEDO",          99,
,"42059 CENTENERA DE ANDALUZ",           9,
,"42060 CERBON",          39,
,"42061 CIDONES",          53,
,"42062 CIGUDOSA",          23,
,"42063 CIHUELA",          34,
,"42064 CIRIA",          40,
,"42065 CIRUJALES DEL RIO",          26,
,"42068 COSCURITA",          82,
,"42069 COVALEDA",         129,
,"42070 CUBILLA",          32,
,"42071 CUBO DE LA SOLANA",          84,
,"42073 CUEVA DE AGREDA",          58,
,"42075 DEVANOS",          51,
,"42076 DEZA",         152,
,"42078 DURUELO DE LA SIERRA",         171,
,"42079 ESCOBOSA DE ALMAZAN",          14,
,"42080 ESPEJA DE SAN MARCELINO",          92,
,"42081 ESPEJON",          13,
,"42082 ESTEPA DE SAN JUAN",          10,
,"42083 FRECHILLA DE ALMAZAN",          31,
,"42084 FRESNO DE CARACENA",          13,
,"42085 FUENTEARMEGIL",         135,
,"42086 FUENTECAMBRON",          46,
,"42087 FUENTECANTOS",          34,
,"42088 FUENTELMONGE",          38,
,"42089 FUENTELSAZ DE SORIA",          37,
,"42090 FUENTEPINILLA",          79,
,"42092 FUENTES DE MAGAÑA",          36,
,"42093 FUENTESTRUN",          30,
,"42094 GARRAY",          91,
,"42095 GOLMAYO",         143,
,"42096 GOMARA",          95,
,"42097 GORMAZ",          19,
,"42098 HERRERA DE SORIA",          24,
,"42100 HINOJOSA DEL CAMPO",          17,
,"42103 LANGA DE DUERO",         258,
,"42105 LICERAS",          19,
,"42106 LOSILLA (LA)",          13,
,"42107 MAGAÑA",          36,
,"42108 MAJAN",           8,
,"42110 MATALEBRERAS",          52,
,"42111 MATAMALA DE ALMAZAN",          81,
,"42113 MEDINACELI",         111,
,"42115 MIÑO DE MEDINACELI",          40,
,"42116 MIÑO DE SAN ESTEBAN",          69,
,"42117 MOLINOS DE DUERO",          40,
,"42118 MOMBLONA",          16,
,"42119 MONTEAGUDO DE LAS VICARIAS",          59,
,"42120 MONTEJO DE TIERMES",          59,
,"42121 MONTENEGRO DE CAMEROS",          55,
,"42123 MORON DE ALMAZAN",          45,
,"42124 MURIEL DE LA FUENTE",           3,
,"42125 MURIEL VIEJO",          41,
,"42127 NAFRIA DE UCERO",          36,
,"42128 NARROS",          16,
,"42129 NAVALENO",          11,
,"42130 NEPAS",          30,
,"42131 NOLAY",          30,
,"42132 NOVIERCAS",          90,
,"42134 OLVEGA",         236,
,"42135 ONCALA",          48,
,"42139 PINILLA DEL CAMPO",          17,
,"42140 PORTILLO DE SORIA",          16,
,"42141 POVEDA DE SORIA (LA)",          64,
,"42142 POZALMURO",          21,
,"42144 QUINTANA REDONDA",         199,
,"42145 QUINTANAS DE GORMAZ",          28,
,"42148 QUIÑONERIA",          17,
,"42149 RABANOS (LOS)",         209,
,"42151 REBOLLAR",          15,
,"42152 RECUERDA",          46,
,"42153 RELLO",          14,
,"42154 RENIEBLAS",          79,
,"42155 RETORTILLO DE SORIA",          70,
,"42156 REZNOS",          28,
,"42157 RIBA DE ESCALOTE (LA)",           8,
,"42158 RIOSECO DE SORIA",          39,
,"42159 ROLLAMIENTA",          24,
,"42160 ROYO (EL)",          71,
,"42161 SALDUERO",          11,
,"42162 SAN ESTEBAN DE GORMAZ",         884,
,"42163 SAN FELICES",          16,
,"42164 SAN LEONARDO DE YAGÜE",         127,
,"42165 SAN PEDRO MANRIQUE",          92,
,"42166 SANTA CRUZ DE YANGUAS",          20,
,"42167 SANTA MARIA DE HUERTA",          42,
,"42168 SANTA MARIA DE LAS HOYAS",          26,
,"42171 SERON DE NAGIMA",          32,
,"42172 SOLIEDRA",          10,
,"42173 SORIA",         138,
,"42174 SOTILLO DEL RINCON",          36,
,"42175 SUELLACABRAS",          26,
,"42176 TAJAHUERCE",          23,
,"42177 TAJUECO",          22,
,"42178 TALVEILA",          69,
,"42181 TARDELCUENDE",          35,
,"42182 TARODA",          47,
,"42183 TEJADO",          84,
,"42184 TORLENGUA",          28,
,"42185 TORREBLACOS",          38,
,"42187 TORRUBIA DE SORIA",          51,
,"42188 TREVAGO",          16,
,"42189 UCERO",          16,
,"42190 VADILLO",          39,
,"42191 VALDEAVELLANO DE TERA",          59,
,"42192 VALDEGEÑA",          19,
,"42193 VALDELAGUA DEL CERRO",           9,
,"42194 VALDEMALUQUE",          95,
,"42195 VALDENEBRO",          32,
,"42196 VALDEPRADO",           7,
,"42197 VALDERRODILLA",          54,
,"42198 VALTAJEROS",          16,
,"42200 VELAMAZAN",          78,
,"42201 VELILLA DE LA SIERRA",          18,
,"42202 VELILLA DE LOS AJOS",          15,
,"42204 VIANA DE DUERO",          53,
,"42205 VILLACIERVOS",          28,
,"42206 VILLANUEVA DE GORMAZ",           7,
,"42207 VILLAR DEL ALA",          12,
,"42208 VILLAR DEL CAMPO",          19,
,"42209 VILLAR DEL RIO",          75,
,"42211 VILLARES DE SORIA (LOS)",          53,
,"42212 VILLASAYAS",          51,
,"42213 VILLASECA DE ARCIEL",          28,
,"42215 VINUESA",          73,
,"42216 VIZMANOS",          18,
,"42217 VOZMEDIANO",          30,
,"42218 YANGUAS",          20,
,"42219 YELO",          26,
,"47001 ADALIA",          37,
,"47002 AGUASAL",          36,
,"47003 AGUILAR DE CAMPOS",          85,
,"47004 ALAEJOS",         390,
,"47005 ALCAZAREN",         176,
,"47006 ALDEA DE SAN MIGUEL",          56,
,"47007 ALDEAMAYOR DE SAN MARTIN",         256,
,"47008 ALMENARA DE ADAJA",          20,
,"47009 AMUSQUILLO",          54,
,"47010 ARROYO DE LA ENCOMIENDA",           2,
,"47011 ATAQUINES",          89,
,"47012 BAHABON",          86,
,"47013 BARCIAL DE LA LOMA",          91,
,"47014 BARRUELO DEL VALLE",          33,
,"47015 BECILLA DE VALDERADUEY",         159,
,"47016 BENAFARCES",          52,
,"47017 BERCERO",         126,
,"47018 BERCERUELO",          24,
,"47019 BERRUECES",          31,
,"47020 BOBADILLA DEL CAMPO",          57,
,"47021 BOCIGAS",          34,
,"47022 BOCOS DE DUERO",          22,
,"47023 BOECILLO",          26,
,"47024 BOLAÑOS DE CAMPOS",         159,
,"47025 BRAHOJOS DE MEDINA",          91,
,"47026 BUSTILLO DE CHAVES",          25,
,"47027 CABEZON DE PISUERGA",          64,
,"47028 CABEZON DE VALDERADUEY",          16,
,"47029 CABREROS DEL MONTE",          46,
,"47030 CAMPASPERO",         325,
,"47031 CAMPILLO (EL)",          89,
,"47032 CAMPORREDONDO",          93,
,"47033 CANALEJAS DE PEÑAFIEL",          75,
,"47034 CANILLAS DE ESGUEVA",          62,
,"47035 CARPIO",         304,
,"47036 CASASOLA DE ARION",          56,
,"47037 CASTREJON DE TRABANCOS",          78,
,"47038 CASTRILLO DE DUERO",          72,
,"47039 CASTRILLO-TEJERIEGO",         110,
,"47040 CASTROBOL",          71,
,"47041 CASTRODEZA",          40,
,"47042 CASTROMEMBIBRE",          30,
,"47043 CASTROMONTE",         146,
,"47044 CASTRONUEVO DE ESGUEVA",          22,
,"47045 CASTRONUÑO",         159,
,"47046 CASTROPONCE",          62,
,"47047 CASTROVERDE DE CERRATO",          92,
,"47048 CEINOS DE CAMPOS",          91,
,"47049 CERVILLEGO DE LA CRUZ",          48,
,"47050 CIGALES",         324,
,"47051 CIGUÑUELA",          82,
,"47052 CISTERNIGA",          46,
,"47053 COGECES DE ISCAR",          93,
,"47054 COGECES DEL MONTE",         287,
,"47055 CORCOS",          64,
,"47056 CORRALES DE DUERO",          59,
,"47057 CUBILLAS DE SANTA MARTA",          43,
,"47058 CUENCA DE CAMPOS",          80,
,"47059 CURIEL DE DUERO",          67,
,"47060 ENCINAS DE ESGUEVA",         107,
,"47061 ESGUEVILLAS DE ESGUEVA",          85,
,"47062 FOMBELLIDA",          77,
,"47063 FOMPEDRAZA",          52,
,"47064 FONTIHOYUELO",          18,
,"47065 FRESNO EL VIEJO",         269,
,"47066 FUENSALDAÑA",          75,
,"47067 FUENTE EL SOL",          67,
,"47068 FUENTE-OLMEDO",          19,
,"47069 GALLEGOS DE HORNIJA",          21,
,"47070 GATON DE CAMPOS",          56,
,"47071 GERIA",          56,
,"47073 HERRIN DE CAMPOS",          69,
,"47074 HORNILLOS DE ERESMA",          67,
,"47075 ISCAR",         167,
,"47076 LAGUNA DE DUERO",         197,
,"47077 LANGAYO",         151,
,"47078 LOMOVIEJO",          79,
,"47079 LLANO DE OLMEDO",          40,
,"47080 MANZANILLO",          40,
,"47081 MARZALES",          23,
,"47082 MATAPOZUELOS",         156,
,"47083 MATILLA DE LOS CAÑOS",          21,
,"47084 MAYORGA",         543,
,"47085 MEDINA DEL CAMPO",         334,
,"47086 MEDINA DE RIOSECO",         184,
,"47087 MEGECES",          89,
,"47088 MELGAR DE ABAJO",          69,
,"47089 MELGAR DE ARRIBA",         126,
,"47090 MOJADOS",         156,
,"47091 MONASTERIO DE VEGA",          30,
,"47092 MONTEALEGRE DE CAMPOS",          53,
,"47093 MONTEMAYOR DE PILILLA",         347,
,"47094 MORAL DE LA REINA",         113,
,"47095 MORALEJA DE LAS PANADERAS",          12,
,"47096 MORALES DE CAMPOS",          34,
,"47097 MOTA DEL MARQUES",          36,
,"47098 MUCIENTES",         205,
,"47099 MUDARRA (LA)",          14,
,"47100 MURIEL",         122,
,"47101 NAVA DEL REY",         323,
,"47102 NUEVA VILLA DE LAS TORRES",         123,
,"47103 OLIVARES DE DUERO",          55,
,"47104 OLMEDO",         195,
,"47105 OLMOS DE ESGUEVA",          41,
,"47106 OLMOS DE PEÑAFIEL",          27,
,"47109 PALAZUELO DE VEDIJA",          57,
,"47110 PARRILLA (LA)",         111,
,"47111 PEDRAJA DE PORTILLO (LA)",         118,
,"47112 PEDRAJAS DE SAN ESTEBAN",         172,
,"47113 PEDROSA DEL REY",          76,
,"47114 PEÑAFIEL",         256,
,"47115 PEÑAFLOR DE HORNIJA",         219,
,"47116 PESQUERA DE DUERO",         187,
,"47117 PIÑA DE ESGUEVA",          85,
,"47118 PIÑEL DE ABAJO",          77,
,"47119 PIÑEL DE ARRIBA",          97,
,"47121 POLLOS",         151,
,"47122 PORTILLO",         190,
,"47123 POZAL DE GALLINAS",         105,
,"47124 POZALDEZ",         125,
,"47125 POZUELO DE LA ORDEN",          36,
,"47126 PURAS",          16,
,"47127 QUINTANILLA DE ARRIBA",          62,
,"47128 QUINTANILLA DEL MOLAR",          54,
,"47129 QUINTANILLA DE ONESIMO",          46,
,"47130 QUINTANILLA DE TRIGUEROS",          71,
,"47131 RABANO",          95,
,"47132 RAMIRO",          29,
,"47133 RENEDO DE ESGUEVA",          46,
,"47134 ROALES DE CAMPOS",         138,
,"47135 ROBLADILLO",          18,
,"47137 ROTURAS",          21,
,"47138 RUBI DE BRACAMONTE",          93,
,"47139 RUEDA",         225,
,"47140 SAELICES DE MAYORGA",          62,
,"47141 SALVADOR DE ZAPARDIEL",         149,
,"47142 SAN CEBRIAN DE MAZOTE",          72,
,"47143 SAN LLORENTE",          86,
,"47144 SAN MARTIN DE VALVENI",          47,
,"47145 SAN MIGUEL DEL ARROYO",         490,
,"47146 SAN MIGUEL DEL PINO",          49,
,"47147 SAN PABLO DE LA MORALEJA",          48,
,"47148 SAN PEDRO DE LATARCE",         129,
,"47149 SAN PELAYO",          10,
,"47150 SAN ROMAN DE HORNIJA",         119,
,"47151 SAN SALVADOR",          18,
,"47152 SANTA EUFEMIA DEL ARROYO",          87,
,"47153 SANTERVAS DE CAMPOS",          60,
,"47154 SANTIBAÑEZ DE VALCORBA",          78,
,"47155 SANTOVENIA DE PISUERGA",          36,
,"47156 SAN VICENTE DEL PALACIO",          74,
,"47157 SARDON DE DUERO",          18,
,"47158 SECA (LA)",         315,
,"47159 SERRADA",         138,
,"47160 SIETE IGLESIAS DE TRABANCOS",         169,
,"47161 SIMANCAS",          67,
,"47162 TAMARIZ DE CAMPOS",          45,
,"47163 TIEDRA",          91,
,"47164 TORDEHUMOS",         167,
,"47165 TORDESILLAS",         428,
,"47166 TORRECILLA DE LA ABADESA",          74,
,"47167 TORRECILLA DE LA ORDEN",         115,
,"47168 TORRECILLA DE LA TORRE",          25,
,"47169 TORRE DE ESGUEVA",          47,
,"47170 TORRE DE PEÑAFIEL",          42,
,"47171 TORRELOBATON",         128,
,"47172 TORRESCARCELA",         140,
,"47173 TRASPINEDO",         165,
,"47174 TRIGUEROS DEL VALLE",          65,
,"47175 TUDELA DE DUERO",         253,
,"47176 UNION DE CAMPOS (LA)",         112,
,"47177 URONES DE CASTROPONCE",          61,
,"47178 URUEÑA",          63,
,"47179 VALBUENA DE DUERO",         126,
,"47180 VALDEARCOS DE LA VEGA",          56,
,"47181 VALDENEBRO DE LOS VALLES",          75,
,"47182 VALDESTILLAS",         160,
,"47183 VALDUNQUILLO",         110,
,"47184 VALORIA LA BUENA",         118,
,"47185 VALVERDE DE CAMPOS",          36,
,"47186 VALLADOLID",         398,
,"47187 VEGA DE RUIPONCE",          52,
,"47188 VEGA DE VALDETRONCO",          35,
,"47189 VELASCALVARO",          54,
,"47190 VELILLA",          46,
,"47191 VELLIZA",          66,
,"47192 VENTOSA DE LA CUESTA",          59,
,"47193 VIANA DE CEGA",          28,
,"47194 VILORIA",          58,
,"47195 VILLABAÑEZ",          86,
,"47196 VILLABARUZ DE CAMPOS",          37,
,"47197 VILLABRAGIMA",         291,
,"47198 VILLACARRALON",          54,
,"47199 VILLACID DE CAMPOS",          26,
,"47200 VILLACO",          42,
,"47203 VILLAFRADES DE CAMPOS",          66,
,"47204 VILLAFRANCA DE DUERO",          97,
,"47205 VILLAFRECHOS",         120,
,"47206 VILLAFUERTE",          51,
,"47207 VILLAGARCIA DE CAMPOS",          70,
,"47208 VILLAGOMEZ LA NUEVA",          31,
,"47209 VILLALAN DE CAMPOS",          44,
,"47210 VILLALAR DE LOS COMUNEROS",         122,
,"47211 VILLALBA DE LA LOMA",          19,
,"47212 VILLALBA DE LOS ALCORES",         125,
,"47213 VILLALBARBA",          32,
,"47214 VILLALON DE CAMPOS",         288,
,"47215 VILLAMURIEL DE CAMPOS",          32,
,"47216 VILLAN DE TORDESILLAS",          37,
,"47217 VILLANUBLA",          76,
,"47218 VILLANUEVA DE DUERO",          54,
,"47219 VILLANUEVA DE LA CONDESA",          17,
,"47220 VILLANUEVA DE LOS CABALLEROS",         134,
,"47221 VILLANUEVA DE LOS INFANTES",          29,
,"47222 VILLANUEVA DE SAN MANCIO",          29,
,"47223 VILLARDEFRADES",          48,
,"47224 VILLARMENTERO DE ESGUEVA",          29,
,"47225 VILLASEXMIR",          37,
,"47226 VILLAVAQUERIN",          60,
,"47227 VILLAVELLID",          34,
,"47228 VILLAVERDE DE MEDINA",         169,
,"47229 VILLAVICENCIO DE LOS CABALLEROS",          94,
,"47230 WAMBA",          64,
,"47231 ZARATAN",          57,
,"47232 ZARZA (LA)",          32,
,"49002 ABEZAMES",          56,
,"49003 ALCAÑICES",         215,
,"49004 ALCUBILLA DE NOGALES",          97,
,"49005 ALFARAZ DE SAYAGO",          91,
,"49006 ALGODRE",          67,
,"49007 ALMARAZ DE DUERO",         242,
,"49008 ALMEIDA DE SAYAGO",         243,
,"49009 ANDAVIAS",         199,
,"49010 ARCENILLAS",          74,
,"49011 ARCOS DE LA POLVOROSA",         100,
,"49012 ARGAÑIN",          77,
,"49013 ARGUJILLO",         200,
,"49014 ARQUILLINOS",          44,
,"49015 ARRABALDE",         150,
,"49016 ASPARIEGOS",          90,
,"49017 ASTURIANOS",         178,
,"49018 AYOO DE VIDRIALES",         402,
,"49019 BARCIAL DEL BARCO",         103,
,"49020 BELVER DE LOS MONTES",         182,
,"49021 BENAVENTE",         245,
,"49022 BENEGILES",         136,
,"49023 BERMILLO DE SAYAGO",         356,
,"49024 BOVEDA DE TORO (LA)",         221,
,"49025 BRETO",          92,
,"49026 BRETOCINO",         110,
,"49027 BRIME DE SOG",         127,
,"49028 BRIME DE URZ",         130,
,"49029 BURGANES DE VALVERDE",         315,
,"49030 BUSTILLO DEL ORO",          41,
,"49031 CABAÑAS DE SAYAGO",          72,
,"49032 CALZADILLA DE TERA",         403,
,"49033 CAMARZANA DE TERA",         483,
,"49034 CAÑIZAL",          92,
,"49035 CAÑIZO",          81,
,"49036 CARBAJALES DE ALBA",         245,
,"49037 CARBELLINO",          78,
,"49038 CASASECA DE CAMPEAN",          54,
,"49039 CASASECA DE LAS CHANAS",         139,
,"49040 CASTRILLO DE LA GUAREÑA",          45,
,"49041 CASTROGONZALO",         141,
,"49042 CASTRONUEVO",         112,
,"49043 CASTROVERDE DE CAMPOS",         145,
,"49044 CAZURRA",          48,
,"49046 CERECINOS DE CAMPOS",         180,
,"49047 CERECINOS DEL CARRIZAL",          53,
,"49048 CERNADILLA",          67,
,"49050 COBREROS",         723,
,"49052 COOMONTE",         114,
,"49053 CORESES",         308,
,"49054 CORRALES DEL VINO",         285,
,"49055 COTANES DEL MONTE",          55,
,"49056 CUBILLOS",         113,
,"49057 CUBO DE BENAVENTE",         277,
,"49058 CUBO DE TIERRA DEL VINO (EL)",         123,
,"49059 CUELGAMURES",          52,
,"49061 ENTRALA",          60,
,"49062 ESPADAÑEDO",         123,
,"49063 FARAMONTANOS DE TABARA",         147,
,"49064 FARIZA",         314,
,"49065 FERMOSELLE",        1066,
,"49066 FERRERAS DE ABAJO",         346,
,"49067 FERRERAS DE ARRIBA",         299,
,"49068 FERRERUELA",         428,
,"49069 FIGUERUELA DE ARRIBA",         412,
,"49071 FONFRIA",         658,
,"49075 FRESNO DE LA POLVOROSA",          97,
,"49076 FRESNO DE LA RIBERA",          66,
,"49077 FRESNO DE SAYAGO",         203,
,"49078 FRIERA DE VALVERDE",         121,
,"49079 FUENTE ENCALADA",          95,
,"49080 FUENTELAPEÑA",         208,
,"49081 FUENTESAUCO",         388,
,"49082 FUENTES DE ROPEL",         178,
,"49083 FUENTESECAS",          51,
,"49084 FUENTESPREADAS",         131,
,"49085 GALENDE",         367,
,"49086 GALLEGOS DEL PAN",          60,
,"49087 GALLEGOS DEL RIO",         521,
,"49088 GAMONES",          79,
,"49090 GEMA",         108,
,"49091 GRANJA DE MORERUELA",          92,
,"49092 GRANUCILLO",         189,
,"49093 GUARRATE",         136,
,"49094 HERMISENDE",         227,
,"49095 HINIESTA (LA)",         169,
,"49096 JAMBRINA",         133,
,"49097 JUSTEL",         117,
,"49098 LOSACINO",         198,
,"49099 LOSACIO",          90,
,"49100 LUBIAN",         253,
,"49101 LUELMO",         143,
,"49102 MADERAL (EL)",         167,
,"49103 MADRIDANOS",         177,
,"49104 MAHIDE",         359,
,"49105 MAIRE DE CASTROPONCE",         100,
,"49107 MALVA",         113,
,"49108 MANGANESES DE LA LAMPREANA",         282,
,"49109 MANGANESES DE LA POLVOROSA",         261,
,"49110 MANZANAL DE ARRIBA",         265,
,"49111 MANZANAL DEL BARCO",         118,
,"49112 MANZANAL DE LOS INFANTES",         179,
,"49113 MATILLA DE ARZON",         191,
,"49114 MATILLA LA SECA",          39,
,"49115 MAYALDE",          98,
,"49116 MELGAR DE TERA",         288,
,"49117 MICERECES DE TERA",         370,
,"49118 MILLES DE LA POLVOROSA",         119,
,"49119 MOLACILLOS",         112,
,"49120 MOLEZUELAS DE LA CARBALLEDA",         173,
,"49121 MOMBUEY",         135,
,"49122 MONFARRACINOS",         139,
,"49123 MONTAMARTA",         247,
,"49124 MORAL DE SAYAGO",         155,
,"49125 MORALEJA DEL VINO",         179,
,"49126 MORALEJA DE SAYAGO",          87,
,"49127 MORALES DEL VINO",         166,
,"49128 MORALES DE REY",         291,
,"49129 MORALES DE TORO",         285,
,"49130 MORALES DE VALVERDE",         182,
,"49131 MORALINA",         172,
,"49132 MORERUELA DE LOS INFANZONES",         165,
,"49133 MORERUELA DE TABARA",         167,
,"49134 MUELAS DE LOS CABALLEROS",          78,
,"49135 MUELAS DEL PAN",         241,
,"49136 MUGA DE SAYAGO",         162,
,"49137 NAVIANOS DE VALVERDE",         118,
,"49138 OLMILLOS DE CASTRO",         193,
,"49139 OTERO DE BODAS",         209,
,"49141 PAJARES DE LA LAMPREANA",         194,
,"49142 PALACIOS DEL PAN",         123,
,"49143 PALACIOS DE SANABRIA",         109,
,"49145 PEDRALBA DE LA PRADERIA",         230,
,"49146 PEGO (EL)",         110,
,"49147 PELEAGONZALO",          91,
,"49148 PELEAS DE ABAJO",          74,
,"49149 PEÑAUSENDE",         259,
,"49150 PEQUE",         110,
